country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
MWI,Africa,51809,1614,37693,12502,285,2635,82,336482,17115,19659952
MYS,Asia,1113272,9024,914639,189609,1062,33929,275,18160251,553464,32811983
Maldives,Asia,77432,221,74598,2613,11,140588,401,1174013,2131577,550772
MLI,Africa,14584,532,13945,107,,699,25,344812,16517,20875763
MLT,Europe,34295,423,31629,2243,2,77449,955,1090666,2463056,442810
Marshall Islands,Australia/Oceania,4,,4,0,,67,,,,59620
Martinique,North America,19149,111,104,18934,1,51071,296,224685,599238,374951
MRT,Africa,25691,562,22228,2901,16,5374,118,369541,77299,4780681
Mauritius,Africa,3913,19,1854,2040,,3071,15,358675,281525,1274043
Mayotte,Africa,19494,174,2964,16356,,69653,622,176919,632136,279875
MEX,North America,2829443,240456,2204109,384878,4798,21700,1844,8421353,64586,130390343
Micronesia,Australia/Oceania,1,,1,0,,9,,,,116320
MDA,Europe,259478,6255,252051,1172,67,64485,1554,1411818,350862,4023851
Monaco,Europe,2889,33,2707,149,3,73062,835,54960,1389915,39542
MNG,Asia,164155,815,164829,-1489,192,49222,244,3446882,1033540,3335025
MNE,Europe,101927,1630,98971,1326,6,162265,2595,505853,805303,628152
Montserrat,North America,21,1,19,1,,4204,200,1408,281882,4995
MAR,Africa,623528,9785,561930,51813,548,16680,262,7608707,203544,37381174
MOZ,Africa,122028,1434,88380,32214,32,3790,45,738694,22945,32193807
MMR,Asia,299185,9334,209512,80339,,5459,170,3159445,57651,54802585
NAM,Africa,118922,3044,95250,20628,85,45910,1175,613229,236738,2590333
NPL,Asia,695389,9857,654177,31355,,23414,332,3603465,121330,29699747
NLD,Europe,1865511,17827,1668004,179680,171,108613,1038,15767121,917988,17175733
NCL,Australia/Oceania,134,,58,76,,465,,38831,134619,288452
NZL,Australia/Oceania,2870,26,2799,45,,574,5,2473000,494392,5002100
NIC,North America,9470,195,4225,5050,,1411,29,,,6709335
NER,Africa,5623,195,5342,86,2,224,8,129856,5165,25143758
NGA,Africa,173411,2149,164978,6284,11,819,10,2439850,11529,211618923
NOR,Europe,137627,799,88952,47876,3,25175,146,6586068,1204722,5466879
OMN,Asia,295857,3814,278195,13848,260,56398,727,1550000,295470,5245888
PAK,Asia,1029811,23360,940164,66287,3187,4567,104,15995153,70933,225498161
PAN,North America,434460,6808,415265,12387,133,99016,1552,3357308,765152,4387767
PNG,Australia/Oceania,17717,192,17324,201,7,1941,21,147179,16122,9129039
PRY,South America,452085,14929,419028,18128,310,62557,2066,1678142,232212,7226775
PER,South America,2109294,196291,,,1814,63029,5865,15476472,462458,33465698
PHL,Asia,1588965,27889,1500189,60887,2026,14296,251,16682875,150094,111149482
POL,Europe,2882939,75261,2653700,153978,36,76264,1991,18556710,490893,37801912
PRT,Europe,968631,17361,902014,49256,195,95294,1708,15214294,1496786,10164639
QAT,Asia,226239,601,223732,1906,24,80575,214,2332220,830620,2807805
Reunion,Africa,37231,275,33894,3062,40,41267,305,103924,115191,902192
ROU,Europe,1083189,34281,1047723,1185,56,56714,1795,10538056,551754,19099182
RUS,Europe,6265873,158563,5608619,498691,2300,42916,1086,165300000,1132177,146001924
RWA,Africa,70698,808,44837,25053,64,5317,61,2075225,156072,13296547
Saint Barthelemy,North America,1195,1,462,732,,120597,101,38369,3872136,9909
Saint Helena,Africa,2,,2,0,,328,,,,6096
Saint Kitts And Nevis,North America,589,3,542,44,1,10988,56,25930,483733,53604
Saint Lucia,North America,5581,89,5368,124,,30244,482,59805,324092,184531
Saint Martin,North America,2579,38,1399,1142,7,65500,965,46787,1188271,39374
Saint Pierre And Miquelon,North America,28,,26,2,,4859,,6128,1063335,5763
Saint Vincent And The Grenadines,North America,2291,12,2229,50,2,20580,108,60851,546631,111320
Samoa,Australia/Oceania,3,,3,0,,15,,,,199834
San Marino,Europe,5130,90,5005,35,,150847,2646,70326,2067925,34008
Sao Tome And Principe,Africa,2446,37,2358,51,,10943,166,14270,63839,223530
SAU,Asia,525730,8237,506089,11404,1377,14853,233,25029275,707110,35396603
SEN,Africa,62290,1353,47136,13801,76,3618,79,647192,37590,17216952
SRB,Europe,721918,7114,710555,4249,11,82985,818,4671408,536980,8699402
Seychelles,Africa,18189,94,17538,557,,183722,949,21504,217206,99003
SLE,Africa,6283,120,4270,1893,,771,15,160358,19673,8151140
Singapore,Asia,64981,37,62863,2081,7,11014,6,15726438,2665554,5899877
Sint Maarten,North America,2770,34,2655,81,2,63825,783,35043,807442,43400
SVK,Europe,392647,12540,379535,572,10,71881,2296,3145755,575883,5462493
SVN,Europe,259215,4429,253742,1044,9,124668,2130,1392022,669484,2079246
SLB,Australia/Oceania,20,,20,0,,28,,4500,6383,704950
SOM,Africa,15358,809,7498,7051,,938,49,167465,10231,16368393
ZAF,Africa,2447454,72013,2222338,153103,546,40714,1198,14862859,247249,60112931
KOR,Asia,198345,2095,174177,22073,317,3865,41,11728821,228557,51316749
SSD,Africa,11049,119,10514,416,,975,10,174045,15355,11334900
ESP,Europe,4447044,81486,3711200,654358,1698,95075,1742,55855941,1194159,46774302
LKA,Asia,308812,4436,277118,27258,,14357,206,4254600,197797,21509978
State Of Palestine,Asia,316738,3603,311832,1303,9,60577,689,1992937,381158,5228642
SDN,Africa,37138,2776,30867,3495,,826,62,234414,5215,44947622
SUR,South America,25287,645,21610,3032,29,42694,1089,91143,153882,592290
CHE,Africa,25979,787,20918,4274,10,22146,671,254449,216905,1173090
SWE,Europe,1100040,14617,1076030,9393,16,108196,1438,11300881,1111516,10167084
SWZ,Europe,717665,10906,692101,14658,37,82275,1250,9053135,1037874,8722770
SYR,Asia,25963,1914,21987,2062,,1446,107,103566,5768,17956644
Taiwan,Asia,15674,787,14110,777,,657,33,3757334,157453,23863237
TJK,Asia,15082,121,14556,405,,1544,12,,,9767516
TZA,Africa,1017,21,183,813,7,17,,,,61557275
THA,Asia,597287,4857,391920,200510,4691,8534,69,8129670,116157,69988732
Timor Leste,Asia,10898,26,9889,983,,8100,19,95473,70962,1345413
TGO,Africa,15798,152,14450,1196,,1861,18,405191,47743,8486878
TTO,North America,38811,1070,31783,5958,22,27636,762,269008,191551,1404371
TUN,Africa,589565,19686,510696,59183,630,49329,1647,2248435,188127,11951687
TKM,Asia,5727045,51332,5454360,221353,543,67128,602,67868851,795504,85315528
TUR,Asia,2484,18,2431,35,,63238,458,94789,2413162,39280
UGA,Africa,93927,2690,83115,8122,626,1986,57,1469682,31080,47287644
GBR,Europe,5856528,129654,4508650,1218224,869,85785,1899,244114700,3575718,68270129
UKR,Europe,2252785,52945,2186863,12977,177,51848,1219,11381585,261945,43450212
ARE,Asia,680858,1949,658198,20711,,67957,195,65922553,6579794,10018939
URY,South America,381364,5959,373290,2115,61,109377,1709,3056723,876680,3486702
USA,North America,35733967,629290,29666084,5438593,9375,107279,1889,529577328,1589878,333093143
UZB,Asia,129327,874,123164,5289,23,3805,26,1377915,40538,33990675
VUT,Australia/Oceania,4,1,3,0,,13,3,23000,73052,314845
VEN,South America,304726,3576,288864,12286,424,10749,126,3359014,118488,28349033
VNM,Asia,141122,1161,35484,104477,,1436,12,11890084,120980,98281263
Wallis And Futuna Islands,Australia/Oceania,445,7,438,0,,40359,635,20508,1859967,11026
ESH,Africa,10,1,8,1,,16,2,,,613090
YEM,Asia,7061,1375,4185,1501,23,231,45,152937,5009,30530919
ZMB,Africa,195816,3389,187236,5191,422,10341,179,2089592,110352,18935680
ZWE,Africa,107490,3490,74562,29438,33,7121,231,1088771,72125,15095525
